"Station","time.code","Deer.det","Coyote.det","start.date","end.date","days.available","days.inactive","days.active","Reservation","X","season","phase"
"BE1020","T9",4,3,2017-05-09,2017-05-24,16,0,16,"Bedford",NA,"spring","fawning"
"BE1031","T1",0,0,2017-01-01,2017-01-16,16,0,16,"Bedford",NA,"winter","winter.forage"
"BE1031","T10",0,0,2017-05-25,2017-06-09,16,0,16,"Bedford",NA,"spring","fawning"
"BE1031","T11",0,0,2017-06-10,2017-06-25,16,0,16,"Bedford",NA,"spring","fawning"
"BE1031","T12",0,0,2017-06-26,2017-06-30,5,0,5,"Bedford",NA,"summer","fawning"
"BE1031","T13",0,0,2016-07-01,2016-07-10,10,0,10,"Bedford",NA,"summer","summer.forage"
"BE1031","T14",0,0,2016-07-11,2016-07-26,16,0,16,"Bedford",NA,"summer","summer.forage"
"BE1031","T15",0,0,2016-07-27,2016-08-11,16,0,16,"Bedford",NA,"summer","summer.forage"
"BE1031","T16",0,0,2016-08-12,2016-08-27,16,0,16,"Bedford",NA,"summer","summer.forage"
"BE1031","T17",3,0,2016-08-28,2016-09-12,16,0,16,"Bedford",NA,"summer","summer.forage"
"BE1031","T18",0,0,2016-09-13,2016-09-28,16,0,16,"Bedford",NA,"autumn","summer.forage"
"BE1031","T19",0,0,2016-09-29,2016-10-14,16,0,16,"Bedford",NA,"autumn","rut"
"BE1031","T2",3,1,2017-01-17,2017-02-01,16,0,16,"Bedford",NA,"winter","winter.forage"
"BE1031","T20",0,0,2016-10-15,2016-10-30,16,0,16,"Bedford",NA,"autumn","rut"
"BE1031","T21",0,0,2016-10-31,2016-11-15,16,0,16,"Bedford",NA,"autumn","rut"
"BE1031","T22",2,0,2016-11-16,2016-12-01,16,0,16,"Bedford",NA,"autumn","rut"
"BE1031","T23",1,0,2016-12-02,2016-12-17,16,0,16,"Bedford",NA,"autumn","rut"
"BE1031","T24",0,0,2016-12-18,2016-12-31,14,0,14,"Bedford",NA,"winter","rut"
